word1,word2,sim,dir,inv
акварель,кисть,1.12,2,1
аквариум,рыбки,7.73,8,9
аквариум,рыба,4.45,9,5
аквариум,рыбка,2.92,3,4
аквариум,гребенщиков,2.0,2,2
аквариум,вода,2.0,2,2
аквариум,рыбы,2.0,2,3
аквариум,улитка,1.12,1,2
аквариум,бг,1.12,2,1
аквариум,компрессор,1.12,2,1
аквариум,аделаида,1.12,2,1
аквариум,дерево,1.12,2,1
аквариум,неон,1.12,1,2
аквариум,террариум,1.12,1,2
аквариум,равноденствие,1.12,1,2
аквариум,фильтр,1.12,1,2
аквариум,пузырьки,1.12,1,2
акватория,территория,1.12,1,2
акведук,мост,1.12,1,2
акела,вождь,1.12,1,2
аккорд,гитара,3.86,4,5
аккорд,музыка,2.0,2,2
аккорд,ноты,2.0,2,2
аккордеон,баян,2.86,3,5
аккордеон,гармонь,1.25,1,4
аккорды,гитара,1.12,1,2
аккумулятор,зарядка,2.0,2,4
аккумулятор,заряд,1.2,3,1
аккумулятор,батарея,1.12,2,1
аккумулятор,свинец,1.12,1,2
аккумулятор,полярность,1.12,1,2
аккумулятор,батарейка,1.12,1,2
акрил,гуашь,1.12,2,1
акробат,цирк,2.86,5,3
акробат,сальто,2.0,2,2
акробаты,цирк,2.92,4,3
акрополь,афины,1.12,2,1
акрополь,храм,1.12,1,2
аксиома,теорема,6.23,11,7
аксиома,постулат,2.0,5,2
аксиома,доказательство,1.25,4,1
аксиома,правило,1.25,4,1
аксиома,константа,1.12,1,2
аксиома,геометрия,1.12,2,1
акт,зал,3.0,3,3
акт,действие,2.81,6,3
акт,пьеса,2.0,3,2
акт,театр,1.31,6,1
акт,секс,1.12,1,2
актив,деньги,1.12,1,2
актив,пассив,1.12,2,1
активность,движение,2.81,6,3
активность,деятельность,2.0,2,4
активность,спорт,1.12,2,1
актриса,актёр,1.2,1,3
актриса,кино,1.12,2,1
актёр,роль,7.0,8,13
актёр,театр,7.0,8,13
актёр,сцена,5.78,6,7
актёр,кино,5.78,6,7
актёр,игра,3.86,5,4
актёр,режиссёр,2.86,5,3
актёр,фильм,2.86,3,5
актёр,грим,2.0,3,2
актёр,ливанов,1.25,1,4
актёр,спектакль,1.25,1,4
актёр,бельмондо,1.2,1,3
актёр,актриса,1.2,3,1
актёр,артист,1.12,2,1
актёр,янковский,1.12,1,2
актёры,театр,3.86,4,5
актёры,фильм,2.0,2,2
актёры,кино,2.0,2,2
актёры,люди,1.2,3,1
актёры,игра,1.12,2,1
актёры,сцена,1.12,2,1
акула,челюсти,3.0,3,3
акула,рыба,2.86,3,5
акула,плавник,2.78,3,7
акула,море,2.0,2,3
акула,океан,2.0,2,3
акула,зубы,1.35,8,1
акула,челюсть,1.12,1,2
акустика,звук,2.81,6,3
акушер,гинеколог,1.2,1,3
акушерка,роды,2.0,7,2
акушерство,гинекология,1.12,2,1
акцент,язык,1.12,1,2
акцент,диалект,1.12,1,2
акцент,говор,1.12,1,2
акцент,произношение,1.12,1,2
аладдин,лампа,5.6,6,8
аладдин,джинн,1.2,3,1
аладдин,сказка,1.2,3,1
аладдин,джин,1.12,2,1
алгебра,геометрия,6.38,7,10
алгебра,математика,4.25,5,12
алгебра,арифметика,3.0,3,3
алгебра,уравнение,2.0,4,2
алгебра,предмет,1.29,5,1
алгоритм,программа,3.5,10,4
алгоритм,последовательность,2.81,6,3
алгоритм,программирование,1.25,4,1
алгоритм,ветвление,1.12,2,1
алгоритм,метод,1.12,2,1
алгоритм,структура,1.12,1,2
алгоритм,поиск,1.12,1,2
алгоритм,решение,1.12,2,1
александрия,библиотека,1.12,2,1
алеф,буква,1.12,1,2
али-баба,разбойник,1.12,2,1
алименты,развод,1.12,1,2
алиса,лиса,2.0,2,10
алиса,зазеркалье,2.0,2,3
алиса,миелофон,1.12,2,1
алиса,кот,1.12,2,1
алкаш,водка,1.2,3,1
алкаш,синяк,1.12,1,2
алкоголизм,зависимость,2.0,2,3
алкоголизм,водка,2.0,2,3
алкоголизм,болезнь,1.2,3,1
алкоголик,пьяница,2.0,2,2
алкоголик,пьянь,1.12,2,1
алкоголь,водка,9.94,11,15
алкоголь,спирт,5.6,8,6
алкоголь,градус,2.86,3,5
алкоголь,похмелье,2.0,2,2
алкоголь,пиво,2.0,2,9
алкоголь,коньяк,2.0,2,4
алкоголь,напиток,2.0,2,3
алкоголь,никотин,2.0,2,2
алкоголь,вино,2.0,2,9
алкоголь,зло,1.31,6,1
алкоголь,бухло,1.29,5,1
алкоголь,шампанское,1.25,1,4
алкоголь,бутылка,1.2,3,1
алкоголь,наркотики,1.12,2,1
алкоголь,зависимость,1.12,2,1
алла,пугачёва,1.12,1,2
аллах,бог,3.0,3,3
аллеи,парк,1.25,4,1
аллель,хромосома,1.12,1,2
аллергия,насморк,2.0,8,2
аллея,парк,2.0,11,2
аллея,прогулка,2.0,2,3
аллея,розы,1.12,2,1
аллея,улица,1.12,2,1
аллигатор,крокодил,3.6,8,4
алмаз,бриллиант,7.5,10,8
алмаз,драгоценность,3.0,3,3
алмаз,огранка,2.92,4,3
алмаз,грань,2.86,3,5
алмаз,графит,2.78,7,3
алмаз,углерод,2.78,7,3
алмаз,кристалл,2.0,2,3
алмаз,глаз,2.0,2,10
алмаз,стеклорез,1.12,1,2
алмаз,кольцо,1.12,2,1
алмаз,топаз,1.12,1,2
алмаз,рубин,1.12,1,2
алмаз,изумруд,1.12,1,2
алмазы,небо,1.12,2,1
алфавит,азбука,6.75,7,8
алфавит,буквы,5.91,7,14
алфавит,буква,5.0,6,14
алфавит,букварь,2.78,7,3
алфавит,иероглиф,1.2,1,3
алфавит,слова,1.12,1,2
алфавит,альфа,1.12,1,2
алхимия,лженаука,1.12,2,1
алчность,жадность,4.81,5,6
алчность,зависть,1.2,3,1
алчность,деньги,1.12,2,1
альбатрос,море,2.0,2,2
альбатрос,птица,2.0,4,2
альбом,фото,1.2,3,1
альбом,рисунок,1.2,3,1
альбом,марки,1.2,1,3
альбом,бумага,1.12,1,2
альбом,рисование,1.12,1,2
альдебаран,телец,1.12,2,1
альдебаран,звезда,1.12,2,1
алькатрас,тюрьма,1.12,2,1
альпинизм,горы,2.0,2,3
альпинизм,скала,1.2,1,3
альпинизм,скалолазание,1.12,2,1
альпинизм,скалы,1.12,1,2
альпинист,ледоруб,1.12,2,1
альпинист,верёвка,1.12,1,2
альпы,горы,4.81,6,5
альпы,суворов,2.0,2,3
альт,голос,1.12,2,1
альт,саксофон,1.12,2,1
альт,скрипка,1.12,1,2
альтаир,звезда,1.2,1,3
альтаир,орёл,1.12,2,1
альтернатива,выбор,1.35,8,1
альфа,омега,4.67,5,7
альфа,гамма,2.0,3,2
альфа,бета,1.33,7,1
альфа,центавра,1.2,1,3
альфа,бетта,1.12,1,2
альфа,буква,1.12,2,1
альфа,алфавит,1.12,2,1
альфа,центавр,1.12,2,1
алюминий,металл,1.25,4,1
алюминий,железо,1.2,3,1
аляска,россия,1.12,2,1
алёнка,шоколад,1.2,1,3
алёнушка,иванушка,4.0,4,4
алёнушка,сказка,2.0,3,2
алёнушка,сестрица,1.12,2,1
амбар,замок,2.0,4,2
амбар,зерно,2.0,6,2
амбре,запах,2.0,2,3
амбре,вонь,2.0,2,2
амбре,аромат,1.25,1,4
америка,колумб,6.0,6,6
америка,индейцы,2.86,3,5
америка,сша,2.78,7,3
америка,континент,2.73,9,3
америка,материк,2.0,2,2
америка,гамбургер,2.0,2,2
америка,доллар,2.0,2,4
америка,индеец,2.0,2,5
америка,нью-йорк,2.0,2,2
америка,страна,1.2,3,1
америка,буш,1.12,2,1
америка,канада,1.12,1,2
америка,свобода,1.12,1,2
амиго,друг,1.12,2,1
аммиак,вонь,1.12,2,1
аммоний,нитрат,1.12,1,2
аммонит,белемнит,1.12,1,2
амнезия,память,1.33,7,1
амон,ра,1.12,2,1
амортизация,пружина,1.12,2,1
амортизация,износ,1.12,1,2
аморфность,амёба,1.12,1,2
ампер,вольт,2.81,3,6
ампер,ток,1.25,1,4
ампир,классицизм,1.12,2,1
амплитуда,колебание,3.0,3,3
амплитуда,колебания,2.0,6,2
амплитуда,частота,1.2,3,1
амплитуда,синусоида,1.12,2,1
амстердам,голландия,2.0,2,3
амударья,сырдарья,1.25,4,1
амулет,оберег,1.12,2,1
амур,река,2.0,3,2
амур,стрела,1.25,1,4
амур,любовь,1.12,1,2
амфетамин,наркотик,1.35,8,1
амфибия,человек,1.2,3,1
амфибия,человек-амфибия,1.12,2,1
амфитеатр,партер,1.12,2,1
амфора,сосуд,2.0,4,2
амфора,ваза,1.12,2,1
амфора,керамика,1.12,1,2
амёба,инфузория,2.0,3,2
амёба,аморфность,1.12,2,1
амёба,ложноножка,1.12,2,1
амёба,простейшие,1.12,1,2
анабиоз,сон,1.2,3,1
анал,секс,2.0,5,2
анализ,моча,8.46,9,11
анализ,кровь,6.23,7,11
анализ,кал,5.78,6,7
анализ,синтез,2.92,3,4
анализ,математика,2.86,5,3
анализ,аналитика,2.0,2,2
анализ,пробирка,2.0,2,2
анализы,моча,1.12,2,1
аналитика,анализ,2.0,2,2
аналитика,дедукция,1.12,2,1
анальгин,нурофен,1.12,1,2
ананасы,шампанское,2.0,2,2
анархия,хаос,2.0,4,2
анархия,беспредел,1.2,3,1
анархия,власть,1.12,2,1
анархия,мама,1.12,1,2
анархия,безвластие,1.12,2,1
анархия,беспорядок,1.12,2,1
анархия,монархия,1.12,2,1
анастасия,настя,1.2,1,3
анатомия,биология,5.0,5,5
анатомия,скелет,3.75,4,6
анатомия,тело,2.81,6,3
анатомия,строение,1.25,4,1
анаша,гашиш,2.0,2,2
ангар,гараж,2.0,2,2
ангел,крылья,6.55,9,7
ангел,бог,3.86,4,5
ангел,демон,3.75,6,4
ангел,небеса,2.0,2,2
ангел,рай,1.33,1,7
ангел,дьявол,1.12,2,1
ангелы,рай,1.2,1,3
ангина,горло,6.75,8,7
ангина,болезнь,2.0,5,2
ангина,грипп,1.2,1,3
ангина,боль,1.2,3,1
ангина,кашель,1.12,2,1
англия,королева,2.0,2,4
англия,остров,2.0,3,2
англия,лондон,2.0,3,2
андеграунд,метро,1.12,1,2
андерсен,сказка,1.12,1,2
андрей,апостол,1.2,1,3
андроид,робот,1.12,2,1
андромеда,туманность,4.0,4,4
андромеда,кассиопея,1.12,2,1
анды,горы,2.0,6,2
анды,гималаи,1.12,2,1
анды,перу,1.12,2,1
анестезия,боль,1.12,2,1
анимация,мультфильм,2.0,2,6
анимация,аниме,1.12,2,1
анимация,мультик,1.12,1,2
аниме,япония,3.75,6,4
аниме,мультфильм,2.0,2,8
аниме,мультик,1.2,3,1
аниме,анимация,1.12,1,2
аниме,тоторо,1.12,1,2
анка,пулемёт,1.25,1,4
анкета,данные,1.12,1,2
аннексия,крым,1.12,1,2
анод,катод,2.0,3,2
анорексия,худоба,2.0,3,2
анорексия,болезнь,1.25,4,1
ансамбль,группа,2.0,4,2
ансамбль,виа,2.0,2,2
ансамбль,хор,1.25,4,1
ансамбль,концерт,1.12,1,2
антарктида,лёд,1.29,1,5
антарктида,пингвины,1.2,1,3
антарктика,пингвины,1.2,3,1
антей,руслан,1.12,2,1
антенна,спутник,2.0,2,2
антенна,телевизор,1.33,1,7
антибиотик,пенициллин,1.12,1,2
антивирус,касперский,3.0,3,3
антивирус,вирус,2.0,2,2
антивирус,защита,1.29,1,5
антидот,противоядие,3.0,3,3
антидот,яд,2.0,4,2
антиква,шрифт,1.2,3,1
антиквариат,раритет,1.12,2,1
антилопа,гну,3.86,4,5
антилопа,косуля,1.12,1,2
антилопа,лев,1.12,1,2
антипатия,симпатия,1.29,1,5
антипатия,неприязнь,1.25,4,1
антипод,противоположность,1.2,3,1
античность,греция,4.0,4,4
античность,древность,2.0,5,2
античность,венера,1.12,2,1
античность,скульптура,1.12,1,2
антоним,синоним,2.67,3,13
антоним,противоположность,2.0,2,2
антоним,омоним,1.2,3,1
антоновка,яблоко,2.0,2,3
антоновка,яблоки,1.12,2,1
антракт,театр,2.0,3,2
антракт,перерыв,1.31,6,1
антракт,спектакль,1.12,1,2
антресоль,полка,1.12,1,2
антропос,человек,1.2,3,1
анус,жопа,1.2,1,3
аншлаг,петросян,2.0,2,2
аорта,кровь,2.0,4,2
аорта,сердце,2.0,3,2
апатия,усталость,2.0,3,2
апатия,депрессия,1.29,5,1
апатия,вялость,1.2,1,3
апатия,уныние,1.12,1,2
апатия,безразличие,1.12,1,2
апатия,лень,1.12,2,1
апельсин,сок,8.46,9,11
апельсин,цитрус,6.75,7,8
апельсин,фрукт,3.86,4,5
апельсин,лимон,2.86,3,5
апельсин,кожура,2.73,3,9
апельсин,мандарин,2.69,11,3
апельсин,долька,2.0,2,5
апельсины,чебурашка,1.12,1,2
аплодисменты,ладоши,1.2,1,3
апокалипсис,зомби,1.25,1,4
апокалипсис,конец,1.2,3,1
аполлон,союз,1.29,1,5
аполлон,статуя,1.25,1,4
аполлон,солнце,1.12,1,2
апостол,андрей,1.2,3,1
апостол,ученик,1.12,2,1
аппарат,самогон,2.0,3,2
аппарат,агрегат,1.2,1,3
аппарат,нло,1.12,2,1
аппарат,касса,1.12,1,2
аппарат,бюрократия,1.12,1,2
аппендицит,операция,1.12,1,2
аппетит,вкус,2.0,3,2
аппетит,еда,1.33,7,1
аппликация,клей,1.2,3,1
апрель,май,2.81,6,3
апрель,месяц,2.0,2,2
апрель,март,2.0,2,8
апрель,капель,2.0,2,3
аптекарь,лекарство,1.2,3,1
ар-деко,дизайн,1.12,2,1
ара,попугай,4.45,5,9
арабы,цифры,2.0,2,2
арап,пушкин,2.0,4,2
арарат,гора,2.0,2,5
арарат,коньяк,1.25,4,1
арарат,армения,1.2,1,3
арахис,орех,1.12,1,2
арахнофобия,паук,2.0,3,2
арба,повозка,1.12,2,1
арбалет,стрела,3.86,5,4
арбалет,оружие,2.0,3,2
арбалет,лук,1.33,7,1
арбалет,лучник,1.12,1,2
арбат,москва,2.0,2,2
арбитр,судья,1.12,1,2
арбуз,ягода,5.6,6,8
арбуз,дыня,2.78,7,3
арбуз,бахча,2.0,2,4
арбуз,астрахань,1.2,1,3
арбуз,лето,1.2,3,1
арбуз,азбука,1.2,1,3
арбуз,сочность,1.12,1,2
арбуз,огород,1.12,1,2
арбуэ,китай,1.12,2,1
аргентина,ямайка,1.31,6,1
аргентина,танго,1.31,1,6
аргентина,страна,1.12,2,1
аргентина,чили,1.12,1,2
аргентум,серебро,2.0,3,2
аргентум,аурум,1.12,1,2
аргонавты,руно,2.0,2,3
аргумент,факт,5.0,5,5
аргумент,доказательство,2.0,2,2
аргумент,довод,2.0,4,2
аргументы,факты,1.25,4,1
арена,цирк,9.0,9,9
арена,клоун,2.0,2,2
арена,гладиатор,1.29,5,1
арена,круг,1.25,4,1
арена,сцена,1.12,1,2
аренда,офис,1.2,3,1
ариадна,нить,2.0,2,12
аристотель,философия,2.0,4,2
аристотель,философ,1.12,1,2
аристотель,платон,1.12,1,2
аритмия,сердце,2.0,5,2
арифметика,математика,8.0,8,8
арифметика,алгебра,3.0,3,3
арифметика,сложение,1.29,5,1
арифметика,цифры,1.29,1,5
арифметика,число,1.12,2,1
ария,опера,2.92,4,3
ария,рок,2.0,2,2
арка,триумф,2.0,2,2
арка,дуга,1.12,1,2
арктика,холод,2.0,2,2
арктика,север,1.2,1,3
арктика,лёд,1.2,3,1
арктика,медведь,1.12,1,2
арктика,полюс,1.12,2,1
арктика,ледокол,1.12,1,2
арматура,бетон,2.0,2,2
арматура,металл,1.12,2,1
армения,арарат,1.2,3,1
армения,грузия,1.2,3,1
армия,строй,5.0,5,5
армия,призыв,3.5,4,10
армия,генерал,2.92,4,3
армия,дисциплина,2.92,3,4
армия,солдат,2.86,5,3
армия,дедовщина,2.86,5,3
армия,войско,2.86,3,5
армия,сапоги,2.0,2,4
армия,солдаты,2.0,2,4
армия,флот,2.0,3,2
армия,война,1.33,7,1
армия,погоны,1.2,1,3
армия,войска,1.2,1,3
армия,батальон,1.2,1,3
армия,оружие,1.2,3,1
армия,взвод,1.12,2,1
армия,офицер,1.12,1,2
армия,дух,1.12,1,2
армия,рота,1.12,1,2
армия,звание,1.12,2,1
армия,народ,1.12,1,2
армия,часть,1.12,1,2
армия,порядок,1.12,1,2
армия,плац,1.12,1,2
армстронг,джаз,2.0,2,2
армстронг,луи,1.31,6,1
армстронг,трубач,1.12,1,2
армстронг,луна,1.12,1,2
армянин,грузин,1.29,1,5
аромат,запах,15.6,20,41
аромат,духи,3.55,9,4
аромат,роза,2.92,3,4
аромат,цветок,2.0,2,4
аромат,амбре,1.25,4,1
аромат,свежесть,1.2,1,3
аромат,женщина,1.12,1,2
аромат,хвоя,1.12,1,2
аромат,трава,1.12,1,2
аромат,вонь,1.12,1,2
аромат,шалфей,1.12,1,2
аромат,благоуханье,1.12,1,2
аромат,цветы,1.12,1,2
арт,искусство,2.0,3,2
арт,дизайн,1.12,1,2
арт-хаус,феллини,1.12,1,2
арт-хаус,кино,1.12,1,2
артемий,лебедев,1.29,1,5
артемон,мальвина,1.25,1,4
артерии,вены,2.92,4,3
артерии,кровь,1.25,4,1
артерия,кровь,4.0,4,4
артерия,вена,2.0,5,2
артерия,сердце,1.12,1,2
артикуляция,дикция,1.12,2,1
артиллерия,пушка,1.25,4,1
артур,король,1.29,1,5
артур,рыцарь,1.12,1,2
арфа,струны,3.0,3,3
арфа,музыка,2.81,6,3
арфа,муза,2.0,2,2
арфа,инструмент,1.2,3,1
арфа,струна,1.2,1,3
архангел,гавриил,1.12,1,2
архангел,михаил,1.12,1,2
археологи,раскопки,1.12,2,1
археология,раскопки,2.0,2,2
архетип,юнг,1.25,1,4
архив,бумаги,1.12,1,2
архимед,эврика,6.75,7,8
архимед,ванна,2.0,4,2
архимед,закон,2.0,5,2
архимед,ванная,2.0,2,2
архимед,греция,1.31,6,1
архимед,рычаг,1.25,1,4
архимед,спираль,1.2,1,3
архимед,сиракузы,1.12,2,1
архимед,объём,1.12,1,2
архимед,физика,1.12,2,1
архипелаг,острова,2.0,2,4
архипелаг,гулаг,2.0,2,4
архитектура,здание,3.67,7,4
архитектура,строительство,2.0,6,2
архитектура,конструктивизм,2.0,2,2
архитектура,памятник,1.2,3,1
архитектура,искусство,1.2,1,3
архитектура,зодчество,1.12,2,1
ас,туз,1.12,1,2
асана,йога,3.86,5,4
асклепий,эскулап,1.12,1,2
аспирин,таблетка,2.0,2,4
аспирин,лекарство,2.0,2,4
аспирин,температура,1.25,1,4
аспирин,болезнь,1.12,1,2
аспирин,похмелье,1.12,1,2
ассоль,паруса,1.12,2,1
ассонанс,диссонанс,1.12,2,1
ассоциации,игра,2.81,3,6
ассоциации,слова,1.2,1,3
ассоциация,цепочка,1.2,1,3
